EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	17:23:11	0	0.1000	0.28349439492997003	0.2551727592945099	0.8762	0.8762	0.8762
2	17:23:22	0	0.1000	0.219426021199016	0.20615676045417786	0.9168	0.9168	0.9168
3	17:23:32	0	0.1000	0.16733993743272388	0.17113004624843597	0.9478	0.9478	0.9478
4	17:23:42	1	0.1000	0.15234886548098395	0.20365700125694275	0.9304	0.9304	0.9304
5	17:23:49	0	0.1000	0.12605356682530222	0.12442953139543533	0.9555	0.9555	0.9555
6	17:23:59	0	0.1000	0.09793833977378466	0.11586364358663559	0.9671	0.9671	0.9671
7	17:24:10	1	0.1000	0.09564493158284355	0.0979674682021141	0.9652	0.9652	0.9652
8	17:24:17	2	0.1000	0.09007325242547427	0.25302988290786743	0.9072	0.9072	0.9072
9	17:24:24	3	0.1000	0.08589626174858388	0.11927808076143265	0.9594	0.9594	0.9594
10	17:24:30	4	0.1000	0.07404779259334593	0.094477079808712	0.9671	0.9671	0.9671
11	17:24:41	0	0.0500	0.06108150576405665	0.08584338426589966	0.971	0.971	0.971
12	17:24:51	1	0.0500	0.08210353345117148	0.21969451010227203	0.9265	0.9265	0.9265
13	17:24:58	2	0.0500	0.058185999309096265	0.0854305773973465	0.9691	0.9691	0.9691
14	17:25:05	3	0.0500	0.05570814703755519	0.08256698399782181	0.971	0.971	0.971
15	17:25:15	4	0.0500	0.051573071656200814	0.08005065470933914	0.971	0.971	0.971
16	17:25:25	1	0.0250	0.06001508257844869	0.13010022044181824	0.9574	0.9574	0.9574
17	17:25:32	0	0.0250	0.046120294534108215	0.07654678821563721	0.9749	0.9749	0.9749
18	17:25:42	1	0.0250	0.0712779181297211	0.10994908213615417	0.9613	0.9613	0.9613
19	17:25:49	2	0.0250	0.03786447578493286	0.0765177384018898	0.9729	0.9729	0.9729
20	17:25:55	0	0.0250	0.03870631748919978	0.07468164712190628	0.9768	0.9768	0.9768
